# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,5.935139250486834,3.197688242598707,0.0005305090178887321,0,3.0,0.001565766463826404,0.0,0.0,0.0
 0.089265001332409,5.9470916111806345,3.1976883532671576,0.0005305090178887321,0.267795003997227,3.0,0.001565766463826404,0.0,0.029082079256780774,0.0
 0.12598929132172504,5.958949202773333,3.197688684088889,0.001598527730007022,0.37796787396517517,3.0000000000000013,0.0015906755328785143,0.0,0.03842975274608443,0.0
 0.15399900229760652,5.970712789531874,3.197689233288471,0.0026749339972994344,0.4619970068928196,2.999999999999999,0.0016158661243503157,0.0,0.04621631515687694,0.0
 0.1774709089389751,5.9823831357232,3.197689999090475,0.003759719031969718,0.5324127268169253,2.9999999999999987,0.0016413345563972097,0.0,0.053180189666694834,0.0
 0.19802652214964345,5.993961005614257,3.19769097971947,0.004852870441228278,0.5940795664489303,3.0,0.0016670822944476246,0.0,0.05962840694978237,0.0
 0.21649928888533587,6.005447163471991,3.197692173400028,0.005954372093632549,0.6494978666560076,3.0,0.0016930997454279405,0.0,0.06572450643958845,0.0
 0.2333854084409834,6.0168423735633425,3.197693578356718,0.007064203967107366,0.7001562253229502,2.9999999999999982,0.0017193823493912945,0.0,0.07156773505710946,0.0
 0.24900890213931684,6.028147400155258,3.197695192814111,0.008182342024776112,0.7470267064179504,2.9999999999999964,0.001745925227151764,0.0,0.07722349933995017,0.0
 0.2635953433129289,6.039363007514684,3.197697014996777,0.009308758055118764,0.7907860299387867,3.0000000000000058,0.0017727231667665911,0.0,0.08273743869724118,0.0
 0.27730934604168794,6.0504899599085595,3.197699043129286,0.010443419515183265,0.8319280381250638,2.999999999999996,0.0017997706096502294,0.0,0.08814276034135378,0.0
 0.29027546919444774,6.061529021603834,3.197701275436209,0.01158628940079345,0.8708264075833432,3.0,0.0018270559224649356,0.0,0.09346439864609897,0.0
 0.3025907109813829,6.07248095686745,3.197703710142116,0.012737326068590654,0.9077721329441486,2.9999999999999956,0.0018545726585546384,0.0,0.09872153793671064,0.0
 0.314332394106212,6.0833465299663505,3.197706345471577,0.013896483084639305,0.9429971823186359,3.000000000000005,0.0018823197913199986,0.0,0.10392921937318261,0.0
 0.32556336459590984,6.094126505167481,3.197709179649163,0.015063709080436853,0.9766900937877295,3.000000000000005,0.0019102843557115153,0.0,0.10909940251518371,0.0
 0.3363355453019934,6.104821646737788,3.197712210899444,0.01623894755925616,1.0090066359059802,3.0,0.0019384527516780436,0.0,0.11424170123476474,0.0
 0.34669243934392513,6.115432718944212,3.19771543744699,0.017422136754114637,1.0400773180317753,2.9999999999999893,0.001966822670316382,0.0,0.11936389769349144,0.0
 0.35667093976789904,6.1259604860537,3.1977188575163717,0.01861320945785632,1.070012819303697,3.0000000000000058,0.0019953734639840217,0.0,0.1244723137484499,0.0
 0.36630266703581527,6.136405712333194,3.197722469332159,0.01981209283628789,1.0989080011074457,2.9999999999999942,0.0020241018199367578,0.0,0.12957209064148326,0.0
 0.3756149768314264,6.146769162049642,3.197726271118923,0.02101870828520639,1.1268449304942791,3.0,0.002052991857700601,0.0,0.13466738838880574,0.0
 0.384631732461573,6.157051599469986,3.197730261101233,0.02223297121765829,1.153895197384719,3.0,0.0020820269437824973,0.0,0.13976155209083418,0.0
 0.3933739058204078,6.167253788861171,3.19773443750366,0.023454790934936187,1.1801217174612233,2.999999999999994,0.0021111959254098795,0.0,0.14485722335079382,0.0
 0.40186005129396607,6.17737649449014,3.197738798550774,0.02468407040518674,1.205580153881898,2.9999999999999933,0.0021404934041104437,0.0,0.14995644345591155,0.0
 0.410106684006752,6.18742048062384,3.197743342467146,0.025920706117283292,1.2303200520202557,3.0,0.0021698944816555404,0.0,0.15506072134701804,0.0
 0.41812858502776684,6.197386511529212,3.1977480674773457,0.027164587876176236,1.2543857550833004,3.0000000000000138,0.002199386050618386,0.0,0.16017109888412961,0.0
 0.42593905008902855,6.2072753514732035,3.197752971805943,0.028415598647834626,1.2778171502670856,3.000000000000014,0.0022289413387848794,0.0,0.16528819334056136,0.0
 0.43355009410803286,6.217087764722757,3.1977580536775094,0.029673614363171334,1.3006502823240986,3.000000000000007,0.0022585587078759535,0.0,0.17041223656674429,0.0
 0.440972620762479,6.226824515544818,3.1977633113166144,0.030938503731331776,1.322917862287437,2.9999999999999774,0.0022882097740417814,0.0,0.17554310821288135,0.0
 0.448216564160275,6.23648636820633,3.197768742947828,0.03221012807109906,1.344649692480825,3.0000000000000306,0.0023178783342175497,0.0,0.18068035912273528,0.0
 0.4552910080282314,6.246074086974238,3.1977743467957214,0.033488341129755066,1.3658730240846944,3.0,0.00234752708889247,0.0,0.18582322937725432,0.0
 0.4622042866385018,6.255588436115485,3.197780121084864,0.034772988886700204,1.3866128599155056,3.000000000000008,0.0023771582571998477,0.0,0.1909706696055654,0.0
 0.46896407078608954,6.265030179897018,3.197786064039827,0.03606390939175412,1.4068922123582688,3.0,0.0024067394704546507,0.0,0.19612135050025914,0.0
 0.47557744144228115,6.274400082585779,3.1977921738851802,0.0373609325762052,1.4267323243268435,2.999999999999983,0.0024362369513327275,0.0,0.20127367523997047,0.0
 0.4820509531804867,6.283698908448714,3.197798448845494,0.03866388007546292,1.4461528595414601,3.0,0.00246563669756704,0.0,0.20642579028951963,0.0
